,file,edges,url,density
90439,NL-HaNA_2.05.159_42_0744.jpg,4924.0,https://migrantcards.huygens.knaw.nl/cards/42/,dense
44432,NL-HaNA_2.05.159_21_1502.jpg,4768.0,https://migrantcards.huygens.knaw.nl/cards/21/,dense
7811,NL-HaNA_2.05.159_4_0532.jpg,5303.0,https://migrantcards.huygens.knaw.nl/cards/04/,dense
11540,NL-HaNA_2.05.159_5_1778.jpg,6058.0,https://migrantcards.huygens.knaw.nl/cards/05/,dense
47917,NL-HaNA_2.05.159_22_1356.jpg,6712.0,https://migrantcards.huygens.knaw.nl/cards/22/,dense
19571,NL-HaNA_2.05.159_9_1434.jpg,4931.0,https://migrantcards.huygens.knaw.nl/cards/09/,dense
62996,NL-HaNA_2.05.159_30_1044.jpg,4538.0,https://migrantcards.huygens.knaw.nl/cards/30/,dense
92832,NL-HaNA_2.05.159_43_1778.jpg,4800.0,https://migrantcards.huygens.knaw.nl/cards/43/,dense
54235,NL-HaNA_2.05.159_25_1402.jpg,4960.0,https://migrantcards.huygens.knaw.nl/cards/25/,dense
44016,NL-HaNA_2.05.159_20_2084.jpg,5537.0,https://migrantcards.huygens.knaw.nl/cards/20/,dense
70163,NL-HaNA_2.05.159_34_0558.jpg,5846.0,https://migrantcards.huygens.knaw.nl/cards/34/,dense
73014,NL-HaNA_2.05.159_35_1678.jpg,5555.0,https://migrantcards.huygens.knaw.nl/cards/35/,dense
88120,NL-HaNA_2.05.159_41_0214.jpg,6101.0,https://migrantcards.huygens.knaw.nl/cards/41/,dense
84728,NL-HaNA_2.05.159_40_0730.jpg,4745.0,https://migrantcards.huygens.knaw.nl/cards/40/,dense
38392,NL-HaNA_2.05.159_18_1976.jpg,5944.0,https://migrantcards.huygens.knaw.nl/cards/18/,dense
73780,NL-HaNA_2.05.159_35_1896.jpg,8022.0,https://migrantcards.huygens.knaw.nl/cards/35/,dense
18168,NL-HaNA_2.05.159_9_1720.jpg,5811.0,https://migrantcards.huygens.knaw.nl/cards/09/,dense
73559,NL-HaNA_2.05.159_35_2152.jpg,5165.0,https://migrantcards.huygens.knaw.nl/cards/35/,dense
42241,NL-HaNA_2.05.159_20_1414.jpg,11011.0,https://migrantcards.huygens.knaw.nl/cards/20/,dense
50954,NL-HaNA_2.05.159_24_0476.jpg,4973.0,https://migrantcards.huygens.knaw.nl/cards/24/,dense
24415,NL-HaNA_2.05.159_11_0670.jpg,5291.0,https://migrantcards.huygens.knaw.nl/cards/11/,dense
18843,NL-HaNA_2.05.159_9_1336.jpg,5345.0,https://migrantcards.huygens.knaw.nl/cards/09/,dense
24277,NL-HaNA_2.05.159_11_1194.jpg,5356.0,https://migrantcards.huygens.knaw.nl/cards/11/,dense
38760,NL-HaNA_2.05.159_18_0146.jpg,4693.0,https://migrantcards.huygens.knaw.nl/cards/18/,dense
31628,NL-HaNA_2.05.159_15_1050.jpg,6239.0,https://migrantcards.huygens.knaw.nl/cards/15/,dense
37661,NL-HaNA_2.05.159_18_0482.jpg,4909.0,https://migrantcards.huygens.knaw.nl/cards/18/,dense
64677,NL-HaNA_2.05.159_31_1686.jpg,9037.0,https://migrantcards.huygens.knaw.nl/cards/31/,dense
16953,NL-HaNA_2.05.159_8_0860.jpg,6895.0,https://migrantcards.huygens.knaw.nl/cards/08/,dense
48023,NL-HaNA_2.05.159_22_1402.jpg,6309.0,https://migrantcards.huygens.knaw.nl/cards/22/,dense
89682,NL-HaNA_2.05.159_42_0100.jpg,5578.0,https://migrantcards.huygens.knaw.nl/cards/42/,dense
55883,NL-HaNA_2.05.159_26_0616.jpg,4623.0,https://migrantcards.huygens.knaw.nl/cards/26/,dense
16980,NL-HaNA_2.05.159_8_1258.jpg,9689.0,https://migrantcards.huygens.knaw.nl/cards/08/,dense
54615,NL-HaNA_2.05.159_25_0956.jpg,7588.0,https://migrantcards.huygens.knaw.nl/cards/25/,dense
