,file,edges,url,density
51417,NL-HaNA_2.05.159_24_1690.jpg,277.0,https://migrantcards.huygens.knaw.nl/cards/24/,empty
34411,NL-HaNA_2.05.159_16_0786.jpg,201.0,https://migrantcards.huygens.knaw.nl/cards/16/,empty
21853,NL-HaNA_2.05.159_10_1662.jpg,156.0,https://migrantcards.huygens.knaw.nl/cards/10/,empty
19708,NL-HaNA_2.05.159_9_0370.jpg,232.0,https://migrantcards.huygens.knaw.nl/cards/09/,empty
54924,NL-HaNA_2.05.159_25_0132.jpg,227.0,https://migrantcards.huygens.knaw.nl/cards/25/,empty
36310,NL-HaNA_2.05.159_17_0246.jpg,156.0,https://migrantcards.huygens.knaw.nl/cards/17/,empty
20919,NL-HaNA_2.05.159_10_1482.jpg,358.0,https://migrantcards.huygens.knaw.nl/cards/10/,empty
2105,NL-HaNA_2.05.159_1_0822.jpg,157.0,https://migrantcards.huygens.knaw.nl/cards/01/,empty
8711,NL-HaNA_2.05.159_4_1588.jpg,176.0,https://migrantcards.huygens.knaw.nl/cards/04/,empty
21125,NL-HaNA_2.05.159_10_0180.jpg,257.0,https://migrantcards.huygens.knaw.nl/cards/10/,empty
76264,NL-HaNA_2.05.159_36_1682.jpg,113.0,https://migrantcards.huygens.knaw.nl/cards/36/,empty
49201,NL-HaNA_2.05.159_23_0562.jpg,122.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
89900,NL-HaNA_2.05.159_42_1862.jpg,10.0,https://migrantcards.huygens.knaw.nl/cards/42/,empty
32324,NL-HaNA_2.05.159_15_1584.jpg,180.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
5645,NL-HaNA_2.05.159_3_1664.jpg,9.0,https://migrantcards.huygens.knaw.nl/cards/03/,empty
12432,NL-HaNA_2.05.159_6_0374.jpg,9.0,https://migrantcards.huygens.knaw.nl/cards/06/,empty
71865,NL-HaNA_2.05.159_34_0230.jpg,181.0,https://migrantcards.huygens.knaw.nl/cards/34/,empty
42397,NL-HaNA_2.05.159_20_0684.jpg,165.0,https://migrantcards.huygens.knaw.nl/cards/20/,empty
24638,NL-HaNA_2.05.159_12_1588.jpg,173.0,https://migrantcards.huygens.knaw.nl/cards/12/,empty
68500,NL-HaNA_2.05.159_33_0338.jpg,231.0,https://migrantcards.huygens.knaw.nl/cards/33/,empty
97364,NL-HaNA_2.05.159_45_2172.jpg,21.0,https://migrantcards.huygens.knaw.nl/cards/45/,empty
15558,NL-HaNA_2.05.159_7_0734.jpg,363.0,https://migrantcards.huygens.knaw.nl/cards/07/,empty
6410,NL-HaNA_2.05.159_3_2162.jpg,197.0,https://migrantcards.huygens.knaw.nl/cards/03/,empty
63366,NL-HaNA_2.05.159_31_0414.jpg,204.0,https://migrantcards.huygens.knaw.nl/cards/31/,empty
27087,NL-HaNA_2.05.159_13_1342.jpg,95.0,https://migrantcards.huygens.knaw.nl/cards/13/,empty
3316,NL-HaNA_2.05.159_2_0844.jpg,7.0,https://migrantcards.huygens.knaw.nl/cards/02/,empty
87963,NL-HaNA_2.05.159_41_2040.jpg,161.0,https://migrantcards.huygens.knaw.nl/cards/41/,empty
47927,NL-HaNA_2.05.159_22_0558.jpg,312.0,https://migrantcards.huygens.knaw.nl/cards/22/,empty
47691,NL-HaNA_2.05.159_22_0202.jpg,357.0,https://migrantcards.huygens.knaw.nl/cards/22/,empty
48540,NL-HaNA_2.05.159_22_0468.jpg,344.0,https://migrantcards.huygens.knaw.nl/cards/22/,empty
21296,NL-HaNA_2.05.159_10_1720.jpg,299.0,https://migrantcards.huygens.knaw.nl/cards/10/,empty
31428,NL-HaNA_2.05.159_15_1654.jpg,194.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
97380,NL-HaNA_2.05.159_45_0412.jpg,203.0,https://migrantcards.huygens.knaw.nl/cards/45/,empty
8632,NL-HaNA_2.05.159_4_2092.jpg,280.0,https://migrantcards.huygens.knaw.nl/cards/04/,empty
38684,NL-HaNA_2.05.159_18_1386.jpg,10.0,https://migrantcards.huygens.knaw.nl/cards/18/,empty
89472,NL-HaNA_2.05.159_42_0496.jpg,154.0,https://migrantcards.huygens.knaw.nl/cards/42/,empty
65016,NL-HaNA_2.05.159_31_0844.jpg,55.0,https://migrantcards.huygens.knaw.nl/cards/31/,empty
38584,NL-HaNA_2.05.159_18_0706.jpg,190.0,https://migrantcards.huygens.knaw.nl/cards/18/,empty
96406,NL-HaNA_2.05.159_45_1006.jpg,147.0,https://migrantcards.huygens.knaw.nl/cards/45/,empty
9200,NL-HaNA_2.05.159_4_0656.jpg,17.0,https://migrantcards.huygens.knaw.nl/cards/04/,empty
29027,NL-HaNA_2.05.159_14_2270.jpg,191.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
75327,NL-HaNA_2.05.159_36_0548.jpg,272.0,https://migrantcards.huygens.knaw.nl/cards/36/,empty
364,NL-HaNA_2.05.159_1_1642.jpg,175.0,https://migrantcards.huygens.knaw.nl/cards/01/,empty
52335,NL-HaNA_2.05.159_24_0454.jpg,230.0,https://migrantcards.huygens.knaw.nl/cards/24/,empty
101298,NL-HaNA_2.05.159_47_2232.jpg,356.0,https://migrantcards.huygens.knaw.nl/cards/47/,empty
91715,NL-HaNA_2.05.159_43_1130.jpg,181.0,https://migrantcards.huygens.knaw.nl/cards/43/,empty
12802,NL-HaNA_2.05.159_6_1870.jpg,4.0,https://migrantcards.huygens.knaw.nl/cards/06/,empty
35113,NL-HaNA_2.05.159_16_1554.jpg,299.0,https://migrantcards.huygens.knaw.nl/cards/16/,empty
27219,NL-HaNA_2.05.159_13_1624.jpg,338.0,https://migrantcards.huygens.knaw.nl/cards/13/,empty
20558,NL-HaNA_2.05.159_10_1216.jpg,126.0,https://migrantcards.huygens.knaw.nl/cards/10/,empty
7662,NL-HaNA_2.05.159_4_1884.jpg,281.0,https://migrantcards.huygens.knaw.nl/cards/04/,empty
35668,NL-HaNA_2.05.159_17_1592.jpg,162.0,https://migrantcards.huygens.knaw.nl/cards/17/,empty
62891,NL-HaNA_2.05.159_30_1608.jpg,13.0,https://migrantcards.huygens.knaw.nl/cards/30/,empty
29088,NL-HaNA_2.05.159_14_1048.jpg,15.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
57286,NL-HaNA_2.05.159_27_1606.jpg,5.0,https://migrantcards.huygens.knaw.nl/cards/27/,empty
43998,NL-HaNA_2.05.159_20_1116.jpg,388.0,https://migrantcards.huygens.knaw.nl/cards/20/,empty
13672,NL-HaNA_2.05.159_6_0528.jpg,7.0,https://migrantcards.huygens.knaw.nl/cards/06/,empty
14888,NL-HaNA_2.05.159_7_1418.jpg,184.0,https://migrantcards.huygens.knaw.nl/cards/07/,empty
12163,NL-HaNA_2.05.159_6_0910.jpg,11.0,https://migrantcards.huygens.knaw.nl/cards/06/,empty
83654,NL-HaNA_2.05.159_39_0290.jpg,356.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
25589,NL-HaNA_2.05.159_12_0738.jpg,399.0,https://migrantcards.huygens.knaw.nl/cards/12/,empty
83495,NL-HaNA_2.05.159_39_1834.jpg,24.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
85606,NL-HaNA_2.05.159_40_0836.jpg,9.0,https://migrantcards.huygens.knaw.nl/cards/40/,empty
90989,NL-HaNA_2.05.159_42_0972.jpg,286.0,https://migrantcards.huygens.knaw.nl/cards/42/,empty
461,NL-HaNA_2.05.159_1_2138.jpg,33.0,https://migrantcards.huygens.knaw.nl/cards/01/,empty
24650,NL-HaNA_2.05.159_12_0170.jpg,178.0,https://migrantcards.huygens.knaw.nl/cards/12/,empty
33098,NL-HaNA_2.05.159_15_1632.jpg,155.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
65772,NL-HaNA_2.05.159_32_2260.jpg,1.0,https://migrantcards.huygens.knaw.nl/cards/32/,empty
68908,NL-HaNA_2.05.159_33_0090.jpg,76.0,https://migrantcards.huygens.knaw.nl/cards/33/,empty
76211,NL-HaNA_2.05.159_36_2246.jpg,10.0,https://migrantcards.huygens.knaw.nl/cards/36/,empty
204,NL-HaNA_2.05.159_1_0204.jpg,244.0,https://migrantcards.huygens.knaw.nl/cards/01/,empty
