,file,edges,url,density
42243,NL-HaNA_2.05.159_20_0756.jpg,159.0,https://migrantcards.huygens.knaw.nl/cards/20/,empty
91791,NL-HaNA_2.05.159_43_0626.jpg,119.0,https://migrantcards.huygens.knaw.nl/cards/43/,empty
5797,NL-HaNA_2.05.159_3_0036.jpg,16.0,https://migrantcards.huygens.knaw.nl/cards/03/,empty
49031,NL-HaNA_2.05.159_23_0918.jpg,157.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
34599,NL-HaNA_2.05.159_16_1236.jpg,157.0,https://migrantcards.huygens.knaw.nl/cards/16/,empty
45323,NL-HaNA_2.05.159_21_1926.jpg,7.0,https://migrantcards.huygens.knaw.nl/cards/21/,empty
90979,NL-HaNA_2.05.159_42_2322.jpg,5.0,https://migrantcards.huygens.knaw.nl/cards/42/,empty
28919,NL-HaNA_2.05.159_14_0722.jpg,161.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
83501,NL-HaNA_2.05.159_39_1682.jpg,227.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
79471,NL-HaNA_2.05.159_37_0658.jpg,218.0,https://migrantcards.huygens.knaw.nl/cards/37/,empty
43994,NL-HaNA_2.05.159_20_0426.jpg,7.0,https://migrantcards.huygens.knaw.nl/cards/20/,empty
2695,NL-HaNA_2.05.159_2_0656.jpg,2.0,https://migrantcards.huygens.knaw.nl/cards/02/,empty
46354,NL-HaNA_2.05.159_21_1380.jpg,283.0,https://migrantcards.huygens.knaw.nl/cards/21/,empty
80910,NL-HaNA_2.05.159_38_1480.jpg,12.0,https://migrantcards.huygens.knaw.nl/cards/38/,empty
35329,NL-HaNA_2.05.159_16_0988.jpg,367.0,https://migrantcards.huygens.knaw.nl/cards/16/,empty
28777,NL-HaNA_2.05.159_13_0706.jpg,94.0,https://migrantcards.huygens.knaw.nl/cards/13/,empty
26749,NL-HaNA_2.05.159_13_2174.jpg,170.0,https://migrantcards.huygens.knaw.nl/cards/13/,empty
10954,NL-HaNA_2.05.159_5_1730.jpg,131.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
23067,NL-HaNA_2.05.159_11_0396.jpg,300.0,https://migrantcards.huygens.knaw.nl/cards/11/,empty
15106,NL-HaNA_2.05.159_7_1414.jpg,359.0,https://migrantcards.huygens.knaw.nl/cards/07/,empty
2407,NL-HaNA_2.05.159_2_1734.jpg,3.0,https://migrantcards.huygens.knaw.nl/cards/02/,empty
50668,NL-HaNA_2.05.159_23_0414.jpg,13.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
14673,NL-HaNA_2.05.159_7_0440.jpg,247.0,https://migrantcards.huygens.knaw.nl/cards/07/,empty
3385,NL-HaNA_2.05.159_2_2186.jpg,14.0,https://migrantcards.huygens.knaw.nl/cards/02/,empty
88945,NL-HaNA_2.05.159_41_1620.jpg,43.0,https://migrantcards.huygens.knaw.nl/cards/41/,empty
105760,NL-HaNA_2.05.159_49_0036.jpg,30.0,https://migrantcards.huygens.knaw.nl/cards/49/,empty
24274,NL-HaNA_2.05.159_11_1630.jpg,102.0,https://migrantcards.huygens.knaw.nl/cards/11/,empty
55882,NL-HaNA_2.05.159_26_0428.jpg,249.0,https://migrantcards.huygens.knaw.nl/cards/26/,empty
63750,NL-HaNA_2.05.159_31_0260.jpg,176.0,https://migrantcards.huygens.knaw.nl/cards/31/,empty
15900,NL-HaNA_2.05.159_7_1134.jpg,185.0,https://migrantcards.huygens.knaw.nl/cards/07/,empty
41468,NL-HaNA_2.05.159_19_0252.jpg,41.0,https://migrantcards.huygens.knaw.nl/cards/19/,empty
64947,NL-HaNA_2.05.159_31_1120.jpg,108.0,https://migrantcards.huygens.knaw.nl/cards/31/,empty
102807,NL-HaNA_2.05.159_47_2062.jpg,265.0,https://migrantcards.huygens.knaw.nl/cards/47/,empty
6795,NL-HaNA_2.05.159_3_1752.jpg,6.0,https://migrantcards.huygens.knaw.nl/cards/03/,empty
3512,NL-HaNA_2.05.159_2_1344.jpg,182.0,https://migrantcards.huygens.knaw.nl/cards/02/,empty
30192,NL-HaNA_2.05.159_14_1998.jpg,158.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
40902,NL-HaNA_2.05.159_19_0952.jpg,283.0,https://migrantcards.huygens.knaw.nl/cards/19/,empty
23239,NL-HaNA_2.05.159_11_1082.jpg,166.0,https://migrantcards.huygens.knaw.nl/cards/11/,empty
55914,NL-HaNA_2.05.159_26_0628.jpg,165.0,https://migrantcards.huygens.knaw.nl/cards/26/,empty
62803,NL-HaNA_2.05.159_30_0734.jpg,267.0,https://migrantcards.huygens.knaw.nl/cards/30/,empty
32166,NL-HaNA_2.05.159_15_0876.jpg,4.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
11038,NL-HaNA_2.05.159_5_2234.jpg,9.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
1988,NL-HaNA_2.05.159_1_2226.jpg,5.0,https://migrantcards.huygens.knaw.nl/cards/01/,empty
7374,NL-HaNA_2.05.159_4_0550.jpg,364.0,https://migrantcards.huygens.knaw.nl/cards/04/,empty
103915,NL-HaNA_2.05.159_48_0832.jpg,6.0,https://migrantcards.huygens.knaw.nl/cards/48/,empty
55355,NL-HaNA_2.05.159_26_1098.jpg,78.0,https://migrantcards.huygens.knaw.nl/cards/26/,empty
49336,NL-HaNA_2.05.159_23_0814.jpg,30.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
79204,NL-HaNA_2.05.159_37_2370.jpg,36.0,https://migrantcards.huygens.knaw.nl/cards/37/,empty
102018,NL-HaNA_2.05.159_47_0896.jpg,219.0,https://migrantcards.huygens.knaw.nl/cards/47/,empty
54264,NL-HaNA_2.05.159_25_1892.jpg,2.0,https://migrantcards.huygens.knaw.nl/cards/25/,empty
12916,NL-HaNA_2.05.159_6_1886.jpg,13.0,https://migrantcards.huygens.knaw.nl/cards/06/,empty
32125,NL-HaNA_2.05.159_15_0792.jpg,193.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
83810,NL-HaNA_2.05.159_39_1804.jpg,325.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
30622,NL-HaNA_2.05.159_14_2222.jpg,169.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
29767,NL-HaNA_2.05.159_14_1350.jpg,163.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
24068,NL-HaNA_2.05.159_11_0884.jpg,180.0,https://migrantcards.huygens.knaw.nl/cards/11/,empty
6314,NL-HaNA_2.05.159_3_0720.jpg,6.0,https://migrantcards.huygens.knaw.nl/cards/03/,empty
98209,NL-HaNA_2.05.159_45_0552.jpg,9.0,https://migrantcards.huygens.knaw.nl/cards/45/,empty
36754,NL-HaNA_2.05.159_17_1748.jpg,153.0,https://migrantcards.huygens.knaw.nl/cards/17/,empty
49112,NL-HaNA_2.05.159_23_1302.jpg,147.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
9117,NL-HaNA_2.05.159_4_1236.jpg,12.0,https://migrantcards.huygens.knaw.nl/cards/04/,empty
43061,NL-HaNA_2.05.159_20_0114.jpg,329.0,https://migrantcards.huygens.knaw.nl/cards/20/,empty
96425,NL-HaNA_2.05.159_45_1166.jpg,43.0,https://migrantcards.huygens.knaw.nl/cards/45/,empty
75294,NL-HaNA_2.05.159_36_1762.jpg,159.0,https://migrantcards.huygens.knaw.nl/cards/36/,empty
86698,NL-HaNA_2.05.159_41_1910.jpg,49.0,https://migrantcards.huygens.knaw.nl/cards/41/,empty
93232,NL-HaNA_2.05.159_43_2186.jpg,312.0,https://migrantcards.huygens.knaw.nl/cards/43/,empty
37858,NL-HaNA_2.05.159_18_1306.jpg,230.0,https://migrantcards.huygens.knaw.nl/cards/18/,empty
13086,NL-HaNA_2.05.159_6_1910.jpg,236.0,https://migrantcards.huygens.knaw.nl/cards/06/,empty
10773,NL-HaNA_2.05.159_5_0070.jpg,3.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
46944,NL-HaNA_2.05.159_22_1638.jpg,231.0,https://migrantcards.huygens.knaw.nl/cards/22/,empty
19939,NL-HaNA_2.05.159_9_1032.jpg,86.0,https://migrantcards.huygens.knaw.nl/cards/09/,empty
1653,NL-HaNA_2.05.159_1_2274.jpg,156.0,https://migrantcards.huygens.knaw.nl/cards/01/,empty
54184,NL-HaNA_2.05.159_25_1456.jpg,188.0,https://migrantcards.huygens.knaw.nl/cards/25/,empty
77320,NL-HaNA_2.05.159_37_1628.jpg,259.0,https://migrantcards.huygens.knaw.nl/cards/37/,empty
24337,NL-HaNA_2.05.159_11_0690.jpg,195.0,https://migrantcards.huygens.knaw.nl/cards/11/,empty
45863,NL-HaNA_2.05.159_21_1400.jpg,169.0,https://migrantcards.huygens.knaw.nl/cards/21/,empty
93779,NL-HaNA_2.05.159_44_0402.jpg,69.0,https://migrantcards.huygens.knaw.nl/cards/44/,empty
56399,NL-HaNA_2.05.159_27_0382.jpg,144.0,https://migrantcards.huygens.knaw.nl/cards/27/,empty
10721,NL-HaNA_2.05.159_5_0300.jpg,8.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
27696,NL-HaNA_2.05.159_13_0008.jpg,290.0,https://migrantcards.huygens.knaw.nl/cards/13/,empty
39928,NL-HaNA_2.05.159_19_0648.jpg,51.0,https://migrantcards.huygens.knaw.nl/cards/19/,empty
82931,NL-HaNA_2.05.159_39_1040.jpg,4.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
34805,NL-HaNA_2.05.159_16_0800.jpg,179.0,https://migrantcards.huygens.knaw.nl/cards/16/,empty
95091,NL-HaNA_2.05.159_44_0818.jpg,212.0,https://migrantcards.huygens.knaw.nl/cards/44/,empty
10127,NL-HaNA_2.05.159_5_0536.jpg,10.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
83271,NL-HaNA_2.05.159_39_0582.jpg,157.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
11271,NL-HaNA_2.05.159_5_0282.jpg,61.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
32292,NL-HaNA_2.05.159_15_0302.jpg,151.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
11444,NL-HaNA_2.05.159_5_1780.jpg,9.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
91580,NL-HaNA_2.05.159_43_1874.jpg,14.0,https://migrantcards.huygens.knaw.nl/cards/43/,empty
29202,NL-HaNA_2.05.159_14_1894.jpg,147.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
42104,NL-HaNA_2.05.159_20_2090.jpg,194.0,https://migrantcards.huygens.knaw.nl/cards/20/,empty
20299,NL-HaNA_2.05.159_10_1306.jpg,143.0,https://migrantcards.huygens.knaw.nl/cards/10/,empty
42496,NL-HaNA_2.05.159_20_0362.jpg,149.0,https://migrantcards.huygens.knaw.nl/cards/20/,empty
32051,NL-HaNA_2.05.159_15_1710.jpg,21.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
16228,NL-HaNA_2.05.159_8_0092.jpg,219.0,https://migrantcards.huygens.knaw.nl/cards/08/,empty
70072,NL-HaNA_2.05.159_34_1230.jpg,134.0,https://migrantcards.huygens.knaw.nl/cards/34/,empty
35124,NL-HaNA_2.05.159_16_1548.jpg,168.0,https://migrantcards.huygens.knaw.nl/cards/16/,empty
82937,NL-HaNA_2.05.159_39_1890.jpg,18.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
24285,NL-HaNA_2.05.159_11_1288.jpg,149.0,https://migrantcards.huygens.knaw.nl/cards/11/,empty
