,file,edges,url,density
87813,NL-HaNA_2.05.159_41_2112.jpg,3832.0,https://migrantcards.huygens.knaw.nl/cards/41/,large
44654,NL-HaNA_2.05.159_21_0222.jpg,3686.0,https://migrantcards.huygens.knaw.nl/cards/21/,large
42596,NL-HaNA_2.05.159_20_1992.jpg,4175.0,https://migrantcards.huygens.knaw.nl/cards/20/,large
80838,NL-HaNA_2.05.159_38_1050.jpg,3759.0,https://migrantcards.huygens.knaw.nl/cards/38/,large
94441,NL-HaNA_2.05.159_44_0936.jpg,3011.0,https://migrantcards.huygens.knaw.nl/cards/44/,large
89319,NL-HaNA_2.05.159_42_0366.jpg,3085.0,https://migrantcards.huygens.knaw.nl/cards/42/,large
89330,NL-HaNA_2.05.159_42_0692.jpg,3553.0,https://migrantcards.huygens.knaw.nl/cards/42/,large
28104,NL-HaNA_2.05.159_13_1220.jpg,3866.0,https://migrantcards.huygens.knaw.nl/cards/13/,large
69816,NL-HaNA_2.05.159_33_2162.jpg,3118.0,https://migrantcards.huygens.knaw.nl/cards/33/,large
95170,NL-HaNA_2.05.159_44_0802.jpg,3784.0,https://migrantcards.huygens.knaw.nl/cards/44/,large
27198,NL-HaNA_2.05.159_13_0296.jpg,4155.0,https://migrantcards.huygens.knaw.nl/cards/13/,large
104287,NL-HaNA_2.05.159_48_0190.jpg,3667.0,https://migrantcards.huygens.knaw.nl/cards/48/,large
75538,NL-HaNA_2.05.159_36_0488.jpg,3259.0,https://migrantcards.huygens.knaw.nl/cards/36/,large
26994,NL-HaNA_2.05.159_13_0334.jpg,4064.0,https://migrantcards.huygens.knaw.nl/cards/13/,large
73091,NL-HaNA_2.05.159_35_0008.jpg,3599.0,https://migrantcards.huygens.knaw.nl/cards/35/,large
97880,NL-HaNA_2.05.159_45_2180.jpg,3769.0,https://migrantcards.huygens.knaw.nl/cards/45/,large
73181,NL-HaNA_2.05.159_35_1872.jpg,4325.0,https://migrantcards.huygens.knaw.nl/cards/35/,large
16764,NL-HaNA_2.05.159_8_1824.jpg,3895.0,https://migrantcards.huygens.knaw.nl/cards/08/,large
83117,NL-HaNA_2.05.159_39_0742.jpg,3465.0,https://migrantcards.huygens.knaw.nl/cards/39/,large
87171,NL-HaNA_2.05.159_41_0288.jpg,4363.0,https://migrantcards.huygens.knaw.nl/cards/41/,large
62391,NL-HaNA_2.05.159_30_1574.jpg,3259.0,https://migrantcards.huygens.knaw.nl/cards/30/,large
105017,NL-HaNA_2.05.159_48_0188.jpg,3846.0,https://migrantcards.huygens.knaw.nl/cards/48/,large
65128,NL-HaNA_2.05.159_31_0174.jpg,3367.0,https://migrantcards.huygens.knaw.nl/cards/31/,large
18278,NL-HaNA_2.05.159_9_1698.jpg,4459.0,https://migrantcards.huygens.knaw.nl/cards/09/,large
53826,NL-HaNA_2.05.159_25_1258.jpg,3152.0,https://migrantcards.huygens.knaw.nl/cards/25/,large
36492,NL-HaNA_2.05.159_17_0816.jpg,3436.0,https://migrantcards.huygens.knaw.nl/cards/17/,large
11495,NL-HaNA_2.05.159_5_0096.jpg,3605.0,https://migrantcards.huygens.knaw.nl/cards/05/,large
39522,NL-HaNA_2.05.159_18_1568.jpg,3126.0,https://migrantcards.huygens.knaw.nl/cards/18/,large
74875,NL-HaNA_2.05.159_36_0638.jpg,3763.0,https://migrantcards.huygens.knaw.nl/cards/36/,large
51784,NL-HaNA_2.05.159_24_1190.jpg,3136.0,https://migrantcards.huygens.knaw.nl/cards/24/,large
22665,NL-HaNA_2.05.159_11_0760.jpg,3690.0,https://migrantcards.huygens.knaw.nl/cards/11/,large
49748,NL-HaNA_2.05.159_23_0886.jpg,3406.0,https://migrantcards.huygens.knaw.nl/cards/23/,large
80895,NL-HaNA_2.05.159_38_1556.jpg,4412.0,https://migrantcards.huygens.knaw.nl/cards/38/,large
94137,NL-HaNA_2.05.159_44_0662.jpg,3199.0,https://migrantcards.huygens.knaw.nl/cards/44/,large
94378,NL-HaNA_2.05.159_44_2040.jpg,3305.0,https://migrantcards.huygens.knaw.nl/cards/44/,large
5377,NL-HaNA_2.05.159_3_0640.jpg,3004.0,https://migrantcards.huygens.knaw.nl/cards/03/,large
50905,NL-HaNA_2.05.159_24_0946.jpg,3075.0,https://migrantcards.huygens.knaw.nl/cards/24/,large
