,file,edges,url,density
23770,NL-HaNA_2.05.159_11_0004.jpg,2291.0,https://migrantcards.huygens.knaw.nl/cards/11/,medium
55629,NL-HaNA_2.05.159_26_0378.jpg,2627.0,https://migrantcards.huygens.knaw.nl/cards/26/,medium
60567,NL-HaNA_2.05.159_29_0040.jpg,2470.0,https://migrantcards.huygens.knaw.nl/cards/29/,medium
34456,NL-HaNA_2.05.159_16_2110.jpg,1870.0,https://migrantcards.huygens.knaw.nl/cards/16/,medium
104183,NL-HaNA_2.05.159_48_2228.jpg,1874.0,https://migrantcards.huygens.knaw.nl/cards/48/,medium
71716,NL-HaNA_2.05.159_34_0182.jpg,2133.0,https://migrantcards.huygens.knaw.nl/cards/34/,medium
75680,NL-HaNA_2.05.159_36_2164.jpg,1644.0,https://migrantcards.huygens.knaw.nl/cards/36/,medium
17387,NL-HaNA_2.05.159_8_0666.jpg,1875.0,https://migrantcards.huygens.knaw.nl/cards/08/,medium
98992,NL-HaNA_2.05.159_46_0852.jpg,2127.0,https://migrantcards.huygens.knaw.nl/cards/46/,medium
35248,NL-HaNA_2.05.159_16_0444.jpg,2759.0,https://migrantcards.huygens.knaw.nl/cards/16/,medium
38036,NL-HaNA_2.05.159_18_0026.jpg,1975.0,https://migrantcards.huygens.knaw.nl/cards/18/,medium
94294,NL-HaNA_2.05.159_44_1206.jpg,2538.0,https://migrantcards.huygens.knaw.nl/cards/44/,medium
93859,NL-HaNA_2.05.159_44_2072.jpg,1940.0,https://migrantcards.huygens.knaw.nl/cards/44/,medium
19220,NL-HaNA_2.05.159_9_1764.jpg,2017.0,https://migrantcards.huygens.knaw.nl/cards/09/,medium
88900,NL-HaNA_2.05.159_41_1994.jpg,1609.0,https://migrantcards.huygens.knaw.nl/cards/41/,medium
39913,NL-HaNA_2.05.159_19_0400.jpg,1627.0,https://migrantcards.huygens.knaw.nl/cards/19/,medium
1151,NL-HaNA_2.05.159_1_1290.jpg,2541.0,https://migrantcards.huygens.knaw.nl/cards/01/,medium
67848,NL-HaNA_2.05.159_33_0858.jpg,2335.0,https://migrantcards.huygens.knaw.nl/cards/33/,medium
14510,NL-HaNA_2.05.159_7_1114.jpg,2193.0,https://migrantcards.huygens.knaw.nl/cards/07/,medium
82771,NL-HaNA_2.05.159_39_0674.jpg,1619.0,https://migrantcards.huygens.knaw.nl/cards/39/,medium
24663,NL-HaNA_2.05.159_12_0876.jpg,1768.0,https://migrantcards.huygens.knaw.nl/cards/12/,medium
83094,NL-HaNA_2.05.159_39_1636.jpg,1733.0,https://migrantcards.huygens.knaw.nl/cards/39/,medium
6875,NL-HaNA_2.05.159_3_2368.jpg,1833.0,https://migrantcards.huygens.knaw.nl/cards/03/,medium
47530,NL-HaNA_2.05.159_22_0218.jpg,2727.0,https://migrantcards.huygens.knaw.nl/cards/22/,medium
31882,NL-HaNA_2.05.159_15_0642.jpg,2080.0,https://migrantcards.huygens.knaw.nl/cards/15/,medium
11206,NL-HaNA_2.05.159_5_2182.jpg,2161.0,https://migrantcards.huygens.knaw.nl/cards/05/,medium
39772,NL-HaNA_2.05.159_18_1580.jpg,2739.0,https://migrantcards.huygens.knaw.nl/cards/18/,medium
78047,NL-HaNA_2.05.159_37_1980.jpg,2769.0,https://migrantcards.huygens.knaw.nl/cards/37/,medium
16027,NL-HaNA_2.05.159_7_1808.jpg,1774.0,https://migrantcards.huygens.knaw.nl/cards/07/,medium
54010,NL-HaNA_2.05.159_25_1310.jpg,2401.0,https://migrantcards.huygens.knaw.nl/cards/25/,medium
68086,NL-HaNA_2.05.159_33_0472.jpg,2601.0,https://migrantcards.huygens.knaw.nl/cards/33/,medium
21988,NL-HaNA_2.05.159_10_1418.jpg,1700.0,https://migrantcards.huygens.knaw.nl/cards/10/,medium
15595,NL-HaNA_2.05.159_7_1096.jpg,2194.0,https://migrantcards.huygens.knaw.nl/cards/07/,medium
65766,NL-HaNA_2.05.159_32_1858.jpg,2795.0,https://migrantcards.huygens.knaw.nl/cards/32/,medium
24395,NL-HaNA_2.05.159_11_0380.jpg,1993.0,https://migrantcards.huygens.knaw.nl/cards/11/,medium
32629,NL-HaNA_2.05.159_15_0404.jpg,2446.0,https://migrantcards.huygens.knaw.nl/cards/15/,medium
99551,NL-HaNA_2.05.159_46_0790.jpg,1832.0,https://migrantcards.huygens.knaw.nl/cards/46/,medium
83114,NL-HaNA_2.05.159_39_0854.jpg,2041.0,https://migrantcards.huygens.knaw.nl/cards/39/,medium
101999,NL-HaNA_2.05.159_47_1234.jpg,1669.0,https://migrantcards.huygens.knaw.nl/cards/47/,medium
98799,NL-HaNA_2.05.159_46_0712.jpg,2827.0,https://migrantcards.huygens.knaw.nl/cards/46/,medium
24279,NL-HaNA_2.05.159_11_0496.jpg,2918.0,https://migrantcards.huygens.knaw.nl/cards/11/,medium
