,file,edges,url,density
97242,NL-HaNA_2.05.159_45_1278.jpg,1215.0,https://migrantcards.huygens.knaw.nl/cards/45/,small
105391,NL-HaNA_2.05.159_48_1292.jpg,1032.0,https://migrantcards.huygens.knaw.nl/cards/48/,small
85605,NL-HaNA_2.05.159_40_0614.jpg,1457.0,https://migrantcards.huygens.knaw.nl/cards/40/,small
100304,NL-HaNA_2.05.159_46_2186.jpg,709.0,https://migrantcards.huygens.knaw.nl/cards/46/,small
69084,NL-HaNA_2.05.159_33_2008.jpg,859.0,https://migrantcards.huygens.knaw.nl/cards/33/,small
18360,NL-HaNA_2.05.159_9_0304.jpg,595.0,https://migrantcards.huygens.knaw.nl/cards/09/,small
3652,NL-HaNA_2.05.159_2_0254.jpg,664.0,https://migrantcards.huygens.knaw.nl/cards/02/,small
1395,NL-HaNA_2.05.159_1_0338.jpg,409.0,https://migrantcards.huygens.knaw.nl/cards/01/,small
61854,NL-HaNA_2.05.159_30_0316.jpg,567.0,https://migrantcards.huygens.knaw.nl/cards/30/,small
99891,NL-HaNA_2.05.159_46_2474.jpg,415.0,https://migrantcards.huygens.knaw.nl/cards/46/,small
40602,NL-HaNA_2.05.159_19_1140.jpg,1286.0,https://migrantcards.huygens.knaw.nl/cards/19/,small
70487,NL-HaNA_2.05.159_34_1920.jpg,887.0,https://migrantcards.huygens.knaw.nl/cards/34/,small
33681,NL-HaNA_2.05.159_16_1930.jpg,1161.0,https://migrantcards.huygens.knaw.nl/cards/16/,small
102372,NL-HaNA_2.05.159_47_0046.jpg,470.0,https://migrantcards.huygens.knaw.nl/cards/47/,small
52252,NL-HaNA_2.05.159_24_2004.jpg,1104.0,https://migrantcards.huygens.knaw.nl/cards/24/,small
5819,NL-HaNA_2.05.159_3_1388.jpg,404.0,https://migrantcards.huygens.knaw.nl/cards/03/,small
95715,NL-HaNA_2.05.159_44_1502.jpg,916.0,https://migrantcards.huygens.knaw.nl/cards/44/,small
63915,NL-HaNA_2.05.159_31_2006.jpg,985.0,https://migrantcards.huygens.knaw.nl/cards/31/,small
8943,NL-HaNA_2.05.159_4_2016.jpg,808.0,https://migrantcards.huygens.knaw.nl/cards/04/,small
19035,NL-HaNA_2.05.159_9_0910.jpg,1365.0,https://migrantcards.huygens.knaw.nl/cards/09/,small
72295,NL-HaNA_2.05.159_34_0280.jpg,1091.0,https://migrantcards.huygens.knaw.nl/cards/34/,small
25459,NL-HaNA_2.05.159_12_1620.jpg,634.0,https://migrantcards.huygens.knaw.nl/cards/12/,small
106810,NL-HaNA_2.05.159_49_0570.jpg,620.0,https://migrantcards.huygens.knaw.nl/cards/49/,small
59895,NL-HaNA_2.05.159_29_0240.jpg,1191.0,https://migrantcards.huygens.knaw.nl/cards/29/,small
14803,NL-HaNA_2.05.159_7_1908.jpg,554.0,https://migrantcards.huygens.knaw.nl/cards/07/,small
106444,NL-HaNA_2.05.159_49_0152.jpg,997.0,https://migrantcards.huygens.knaw.nl/cards/49/,small
17345,NL-HaNA_2.05.159_8_1620.jpg,522.0,https://migrantcards.huygens.knaw.nl/cards/08/,small
87838,NL-HaNA_2.05.159_41_1194.jpg,471.0,https://migrantcards.huygens.knaw.nl/cards/41/,small
65674,NL-HaNA_2.05.159_32_1682.jpg,595.0,https://migrantcards.huygens.knaw.nl/cards/32/,small
29812,NL-HaNA_2.05.159_14_1860.jpg,668.0,https://migrantcards.huygens.knaw.nl/cards/14/,small
63589,NL-HaNA_2.05.159_31_2154.jpg,787.0,https://migrantcards.huygens.knaw.nl/cards/31/,small
64756,NL-HaNA_2.05.159_31_0282.jpg,745.0,https://migrantcards.huygens.knaw.nl/cards/31/,small
13981,NL-HaNA_2.05.159_7_0760.jpg,524.0,https://migrantcards.huygens.knaw.nl/cards/07/,small
95669,NL-HaNA_2.05.159_44_0222.jpg,506.0,https://migrantcards.huygens.knaw.nl/cards/44/,small
257,NL-HaNA_2.05.159_1_0872.jpg,1344.0,https://migrantcards.huygens.knaw.nl/cards/01/,small
72146,NL-HaNA_2.05.159_34_0552.jpg,627.0,https://migrantcards.huygens.knaw.nl/cards/34/,small
105069,NL-HaNA_2.05.159_48_0792.jpg,1268.0,https://migrantcards.huygens.knaw.nl/cards/48/,small
41115,NL-HaNA_2.05.159_19_1844.jpg,991.0,https://migrantcards.huygens.knaw.nl/cards/19/,small
68971,NL-HaNA_2.05.159_33_1832.jpg,894.0,https://migrantcards.huygens.knaw.nl/cards/33/,small
91491,NL-HaNA_2.05.159_43_0142.jpg,1216.0,https://migrantcards.huygens.knaw.nl/cards/43/,small
27587,NL-HaNA_2.05.159_13_0292.jpg,834.0,https://migrantcards.huygens.knaw.nl/cards/13/,small
32663,NL-HaNA_2.05.159_15_1522.jpg,492.0,https://migrantcards.huygens.knaw.nl/cards/15/,small
58919,NL-HaNA_2.05.159_29_1950.jpg,429.0,https://migrantcards.huygens.knaw.nl/cards/29/,small
11754,NL-HaNA_2.05.159_5_1288.jpg,726.0,https://migrantcards.huygens.knaw.nl/cards/05/,small
63572,NL-HaNA_2.05.159_31_0126.jpg,705.0,https://migrantcards.huygens.knaw.nl/cards/31/,small
73243,NL-HaNA_2.05.159_35_0486.jpg,560.0,https://migrantcards.huygens.knaw.nl/cards/35/,small
63108,NL-HaNA_2.05.159_30_0850.jpg,954.0,https://migrantcards.huygens.knaw.nl/cards/30/,small
13157,NL-HaNA_2.05.159_6_0286.jpg,679.0,https://migrantcards.huygens.knaw.nl/cards/06/,small
10832,NL-HaNA_2.05.159_5_0520.jpg,920.0,https://migrantcards.huygens.knaw.nl/cards/05/,small
7043,NL-HaNA_2.05.159_3_0502.jpg,1497.0,https://migrantcards.huygens.knaw.nl/cards/03/,small
84378,NL-HaNA_2.05.159_40_0590.jpg,872.0,https://migrantcards.huygens.knaw.nl/cards/40/,small
64723,NL-HaNA_2.05.159_31_1856.jpg,593.0,https://migrantcards.huygens.knaw.nl/cards/31/,small
103665,NL-HaNA_2.05.159_48_0422.jpg,647.0,https://migrantcards.huygens.knaw.nl/cards/48/,small
75089,NL-HaNA_2.05.159_36_1052.jpg,832.0,https://migrantcards.huygens.knaw.nl/cards/36/,small
83029,NL-HaNA_2.05.159_39_1178.jpg,427.0,https://migrantcards.huygens.knaw.nl/cards/39/,small
8811,NL-HaNA_2.05.159_4_1184.jpg,1470.0,https://migrantcards.huygens.knaw.nl/cards/04/,small
63901,NL-HaNA_2.05.159_31_0274.jpg,1207.0,https://migrantcards.huygens.knaw.nl/cards/31/,small
25502,NL-HaNA_2.05.159_12_1044.jpg,447.0,https://migrantcards.huygens.knaw.nl/cards/12/,small
51903,NL-HaNA_2.05.159_24_0934.jpg,549.0,https://migrantcards.huygens.knaw.nl/cards/24/,small
37019,NL-HaNA_2.05.159_17_1020.jpg,512.0,https://migrantcards.huygens.knaw.nl/cards/17/,small
105872,NL-HaNA_2.05.159_49_0958.jpg,1190.0,https://migrantcards.huygens.knaw.nl/cards/49/,small
59324,NL-HaNA_2.05.159_29_1114.jpg,620.0,https://migrantcards.huygens.knaw.nl/cards/29/,small
26311,NL-HaNA_2.05.159_12_1976.jpg,609.0,https://migrantcards.huygens.knaw.nl/cards/12/,small
101050,NL-HaNA_2.05.159_47_2446.jpg,737.0,https://migrantcards.huygens.knaw.nl/cards/47/,small
42673,NL-HaNA_2.05.159_20_0518.jpg,1395.0,https://migrantcards.huygens.knaw.nl/cards/20/,small
97390,NL-HaNA_2.05.159_45_0590.jpg,410.0,https://migrantcards.huygens.knaw.nl/cards/45/,small
25885,NL-HaNA_2.05.159_12_0972.jpg,665.0,https://migrantcards.huygens.knaw.nl/cards/12/,small
104202,NL-HaNA_2.05.159_48_0246.jpg,417.0,https://migrantcards.huygens.knaw.nl/cards/48/,small
94633,NL-HaNA_2.05.159_44_1198.jpg,914.0,https://migrantcards.huygens.knaw.nl/cards/44/,small
59237,NL-HaNA_2.05.159_29_0028.jpg,443.0,https://migrantcards.huygens.knaw.nl/cards/29/,small
22962,NL-HaNA_2.05.159_11_1378.jpg,700.0,https://migrantcards.huygens.knaw.nl/cards/11/,small
495,NL-HaNA_2.05.159_1_1372.jpg,937.0,https://migrantcards.huygens.knaw.nl/cards/01/,small
52673,NL-HaNA_2.05.159_24_2132.jpg,657.0,https://migrantcards.huygens.knaw.nl/cards/24/,small
59973,NL-HaNA_2.05.159_29_0318.jpg,906.0,https://migrantcards.huygens.knaw.nl/cards/29/,small
95560,NL-HaNA_2.05.159_44_0678.jpg,1375.0,https://migrantcards.huygens.knaw.nl/cards/44/,small
51371,NL-HaNA_2.05.159_24_0070.jpg,913.0,https://migrantcards.huygens.knaw.nl/cards/24/,small
74523,NL-HaNA_2.05.159_35_0756.jpg,447.0,https://migrantcards.huygens.knaw.nl/cards/35/,small
64389,NL-HaNA_2.05.159_31_2312.jpg,635.0,https://migrantcards.huygens.knaw.nl/cards/31/,small
59083,NL-HaNA_2.05.159_29_1790.jpg,685.0,https://migrantcards.huygens.knaw.nl/cards/29/,small
28466,NL-HaNA_2.05.159_13_1274.jpg,653.0,https://migrantcards.huygens.knaw.nl/cards/13/,small
7418,NL-HaNA_2.05.159_4_1590.jpg,959.0,https://migrantcards.huygens.knaw.nl/cards/04/,small
32832,NL-HaNA_2.05.159_15_1414.jpg,413.0,https://migrantcards.huygens.knaw.nl/cards/15/,small
77573,NL-HaNA_2.05.159_37_0246.jpg,1370.0,https://migrantcards.huygens.knaw.nl/cards/37/,small
6854,NL-HaNA_2.05.159_3_0292.jpg,507.0,https://migrantcards.huygens.knaw.nl/cards/03/,small
104600,NL-HaNA_2.05.159_48_1094.jpg,907.0,https://migrantcards.huygens.knaw.nl/cards/48/,small
15297,NL-HaNA_2.05.159_7_1484.jpg,1120.0,https://migrantcards.huygens.knaw.nl/cards/07/,small
18573,NL-HaNA_2.05.159_9_1380.jpg,446.0,https://migrantcards.huygens.knaw.nl/cards/09/,small
25741,NL-HaNA_2.05.159_12_0324.jpg,601.0,https://migrantcards.huygens.knaw.nl/cards/12/,small
90305,NL-HaNA_2.05.159_42_1970.jpg,1242.0,https://migrantcards.huygens.knaw.nl/cards/42/,small
22655,NL-HaNA_2.05.159_11_0604.jpg,488.0,https://migrantcards.huygens.knaw.nl/cards/11/,small
63004,NL-HaNA_2.05.159_30_1094.jpg,1103.0,https://migrantcards.huygens.knaw.nl/cards/30/,small
3163,NL-HaNA_2.05.159_2_0082.jpg,1359.0,https://migrantcards.huygens.knaw.nl/cards/02/,small
2099,NL-HaNA_2.05.159_1_1454.jpg,1245.0,https://migrantcards.huygens.knaw.nl/cards/01/,small
555,NL-HaNA_2.05.159_1_1806.jpg,620.0,https://migrantcards.huygens.knaw.nl/cards/01/,small
17102,NL-HaNA_2.05.159_8_0398.jpg,751.0,https://migrantcards.huygens.knaw.nl/cards/08/,small
74443,NL-HaNA_2.05.159_35_0788.jpg,582.0,https://migrantcards.huygens.knaw.nl/cards/35/,small
78725,NL-HaNA_2.05.159_37_1378.jpg,881.0,https://migrantcards.huygens.knaw.nl/cards/37/,small
70818,NL-HaNA_2.05.159_34_1432.jpg,765.0,https://migrantcards.huygens.knaw.nl/cards/34/,small
38843,NL-HaNA_2.05.159_18_0010.jpg,788.0,https://migrantcards.huygens.knaw.nl/cards/18/,small
33379,NL-HaNA_2.05.159_16_1338.jpg,1194.0,https://migrantcards.huygens.knaw.nl/cards/16/,small
