,file,edges,url,density
37736,NL-HaNA_2.05.159_18_2251.jpg,4151.0,https://migrantcards.huygens.knaw.nl/cards/18/,dense
27431,NL-HaNA_2.05.159_13_0127.jpg,6411.0,https://migrantcards.huygens.knaw.nl/cards/13/,dense
31480,NL-HaNA_2.05.159_15_0255.jpg,4233.0,https://migrantcards.huygens.knaw.nl/cards/15/,dense
3626,NL-HaNA_2.05.159_2_0433.jpg,4436.0,https://migrantcards.huygens.knaw.nl/cards/02/,dense
96415,NL-HaNA_2.05.159_45_0207.jpg,4562.0,https://migrantcards.huygens.knaw.nl/cards/45/,dense
82583,NL-HaNA_2.05.159_39_1487.jpg,5080.0,https://migrantcards.huygens.knaw.nl/cards/39/,dense
70524,NL-HaNA_2.05.159_34_1827.jpg,4366.0,https://migrantcards.huygens.knaw.nl/cards/34/,dense
56959,NL-HaNA_2.05.159_27_0977.jpg,4721.0,https://migrantcards.huygens.knaw.nl/cards/27/,dense
87173,NL-HaNA_2.05.159_41_0943.jpg,6278.0,https://migrantcards.huygens.knaw.nl/cards/41/,dense
28893,NL-HaNA_2.05.159_14_1871.jpg,4347.0,https://migrantcards.huygens.knaw.nl/cards/14/,dense
20415,NL-HaNA_2.05.159_10_2163.jpg,5836.0,https://migrantcards.huygens.knaw.nl/cards/10/,dense
68792,NL-HaNA_2.05.159_33_1197.jpg,4993.0,https://migrantcards.huygens.knaw.nl/cards/33/,dense
35775,NL-HaNA_2.05.159_17_0831.jpg,4011.0,https://migrantcards.huygens.knaw.nl/cards/17/,dense
46942,NL-HaNA_2.05.159_22_1749.jpg,4941.0,https://migrantcards.huygens.knaw.nl/cards/22/,dense
94283,NL-HaNA_2.05.159_44_1045.jpg,5044.0,https://migrantcards.huygens.knaw.nl/cards/44/,dense
94610,NL-HaNA_2.05.159_44_0887.jpg,4732.0,https://migrantcards.huygens.knaw.nl/cards/44/,dense
17269,NL-HaNA_2.05.159_8_1257.jpg,6567.0,https://migrantcards.huygens.knaw.nl/cards/08/,dense
27750,NL-HaNA_2.05.159_13_2051.jpg,4621.0,https://migrantcards.huygens.knaw.nl/cards/13/,dense
31464,NL-HaNA_2.05.159_15_2085.jpg,4556.0,https://migrantcards.huygens.knaw.nl/cards/15/,dense
32293,NL-HaNA_2.05.159_15_0085.jpg,4041.0,https://migrantcards.huygens.knaw.nl/cards/15/,dense
6874,NL-HaNA_2.05.159_3_1211.jpg,5234.0,https://migrantcards.huygens.knaw.nl/cards/03/,dense
826,NL-HaNA_2.05.159_1_1011.jpg,4817.0,https://migrantcards.huygens.knaw.nl/cards/01/,dense
97408,NL-HaNA_2.05.159_45_1621.jpg,4476.0,https://migrantcards.huygens.knaw.nl/cards/45/,dense
44501,NL-HaNA_2.05.159_21_1685.jpg,4394.0,https://migrantcards.huygens.knaw.nl/cards/21/,dense
65929,NL-HaNA_2.05.159_32_1279.jpg,4008.0,https://migrantcards.huygens.knaw.nl/cards/32/,dense
26684,NL-HaNA_2.05.159_13_0617.jpg,7660.0,https://migrantcards.huygens.knaw.nl/cards/13/,dense
23520,NL-HaNA_2.05.159_11_1281.jpg,4348.0,https://migrantcards.huygens.knaw.nl/cards/11/,dense
40797,NL-HaNA_2.05.159_19_0611.jpg,4408.0,https://migrantcards.huygens.knaw.nl/cards/19/,dense
17495,NL-HaNA_2.05.159_8_1711.jpg,4264.0,https://migrantcards.huygens.knaw.nl/cards/08/,dense
63526,NL-HaNA_2.05.159_31_1241.jpg,4945.0,https://migrantcards.huygens.knaw.nl/cards/31/,dense
89891,NL-HaNA_2.05.159_42_2341.jpg,7243.0,https://migrantcards.huygens.knaw.nl/cards/42/,dense
43042,NL-HaNA_2.05.159_20_0937.jpg,7767.0,https://migrantcards.huygens.knaw.nl/cards/20/,dense
28273,NL-HaNA_2.05.159_13_0977.jpg,4119.0,https://migrantcards.huygens.knaw.nl/cards/13/,dense
7008,NL-HaNA_2.05.159_3_0251.jpg,4724.0,https://migrantcards.huygens.knaw.nl/cards/03/,dense
69608,NL-HaNA_2.05.159_33_1111.jpg,5366.0,https://migrantcards.huygens.knaw.nl/cards/33/,dense
43566,NL-HaNA_2.05.159_20_1413.jpg,6211.0,https://migrantcards.huygens.knaw.nl/cards/20/,dense
78961,NL-HaNA_2.05.159_37_1113.jpg,4645.0,https://migrantcards.huygens.knaw.nl/cards/37/,dense
55237,NL-HaNA_2.05.159_26_0325.jpg,4346.0,https://migrantcards.huygens.knaw.nl/cards/26/,dense
103320,NL-HaNA_2.05.159_48_0693.jpg,4248.0,https://migrantcards.huygens.knaw.nl/cards/48/,dense
80255,NL-HaNA_2.05.159_38_1859.jpg,6177.0,https://migrantcards.huygens.knaw.nl/cards/38/,dense
100142,NL-HaNA_2.05.159_46_2495.jpg,6427.0,https://migrantcards.huygens.knaw.nl/cards/46/,dense
43274,NL-HaNA_2.05.159_20_0401.jpg,6654.0,https://migrantcards.huygens.knaw.nl/cards/20/,dense
70271,NL-HaNA_2.05.159_34_0163.jpg,4989.0,https://migrantcards.huygens.knaw.nl/cards/34/,dense
69204,NL-HaNA_2.05.159_33_1891.jpg,4636.0,https://migrantcards.huygens.knaw.nl/cards/33/,dense
67449,NL-HaNA_2.05.159_32_2227.jpg,6217.0,https://migrantcards.huygens.knaw.nl/cards/32/,dense
33209,NL-HaNA_2.05.159_15_1771.jpg,9321.0,https://migrantcards.huygens.knaw.nl/cards/15/,dense
59873,NL-HaNA_2.05.159_29_0463.jpg,4742.0,https://migrantcards.huygens.knaw.nl/cards/29/,dense
53953,NL-HaNA_2.05.159_25_0955.jpg,4577.0,https://migrantcards.huygens.knaw.nl/cards/25/,dense
50471,NL-HaNA_2.05.159_23_0343.jpg,4771.0,https://migrantcards.huygens.knaw.nl/cards/23/,dense
22759,NL-HaNA_2.05.159_11_0631.jpg,6692.0,https://migrantcards.huygens.knaw.nl/cards/11/,dense
98083,NL-HaNA_2.05.159_45_1225.jpg,5191.0,https://migrantcards.huygens.knaw.nl/cards/45/,dense
84276,NL-HaNA_2.05.159_40_1677.jpg,4692.0,https://migrantcards.huygens.knaw.nl/cards/40/,dense
14952,NL-HaNA_2.05.159_7_1131.jpg,4876.0,https://migrantcards.huygens.knaw.nl/cards/07/,dense
18915,NL-HaNA_2.05.159_9_1677.jpg,4794.0,https://migrantcards.huygens.knaw.nl/cards/09/,dense
79393,NL-HaNA_2.05.159_37_1391.jpg,4179.0,https://migrantcards.huygens.knaw.nl/cards/37/,dense
