,file,edges,url,density
19162,NL-HaNA_2.05.159_9_0501.jpg,171.0,https://migrantcards.huygens.knaw.nl/cards/09/,empty
3816,NL-HaNA_2.05.159_2_0743.jpg,295.0,https://migrantcards.huygens.knaw.nl/cards/02/,empty
79699,NL-HaNA_2.05.159_38_2345.jpg,1.0,https://migrantcards.huygens.knaw.nl/cards/38/,empty
50615,NL-HaNA_2.05.159_23_2183.jpg,206.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
68444,NL-HaNA_2.05.159_33_0861.jpg,157.0,https://migrantcards.huygens.knaw.nl/cards/33/,empty
6254,NL-HaNA_2.05.159_3_2473.jpg,137.0,https://migrantcards.huygens.knaw.nl/cards/03/,empty
76777,NL-HaNA_2.05.159_36_1443.jpg,236.0,https://migrantcards.huygens.knaw.nl/cards/36/,empty
85340,NL-HaNA_2.05.159_40_0003.jpg,251.0,https://migrantcards.huygens.knaw.nl/cards/40/,empty
30780,NL-HaNA_2.05.159_14_0301.jpg,278.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
77162,NL-HaNA_2.05.159_37_2367.jpg,141.0,https://migrantcards.huygens.knaw.nl/cards/37/,empty
9399,NL-HaNA_2.05.159_4_2075.jpg,231.0,https://migrantcards.huygens.knaw.nl/cards/04/,empty
87930,NL-HaNA_2.05.159_41_0279.jpg,228.0,https://migrantcards.huygens.knaw.nl/cards/41/,empty
57431,NL-HaNA_2.05.159_27_1237.jpg,289.0,https://migrantcards.huygens.knaw.nl/cards/27/,empty
92449,NL-HaNA_2.05.159_43_0419.jpg,278.0,https://migrantcards.huygens.knaw.nl/cards/43/,empty
79239,NL-HaNA_2.05.159_37_1731.jpg,204.0,https://migrantcards.huygens.knaw.nl/cards/37/,empty
72838,NL-HaNA_2.05.159_35_1991.jpg,88.0,https://migrantcards.huygens.knaw.nl/cards/35/,empty
4097,NL-HaNA_2.05.159_2_2383.jpg,1.0,https://migrantcards.huygens.knaw.nl/cards/02/,empty
14827,NL-HaNA_2.05.159_7_2159.jpg,3.0,https://migrantcards.huygens.knaw.nl/cards/07/,empty
68679,NL-HaNA_2.05.159_33_2041.jpg,265.0,https://migrantcards.huygens.knaw.nl/cards/33/,empty
35734,NL-HaNA_2.05.159_17_0811.jpg,57.0,https://migrantcards.huygens.knaw.nl/cards/17/,empty
79416,NL-HaNA_2.05.159_37_0287.jpg,157.0,https://migrantcards.huygens.knaw.nl/cards/37/,empty
97062,NL-HaNA_2.05.159_45_1105.jpg,277.0,https://migrantcards.huygens.knaw.nl/cards/45/,empty
100469,NL-HaNA_2.05.159_46_2505.jpg,18.0,https://migrantcards.huygens.knaw.nl/cards/46/,empty
90425,NL-HaNA_2.05.159_42_0325.jpg,135.0,https://migrantcards.huygens.knaw.nl/cards/42/,empty
69236,NL-HaNA_2.05.159_33_0537.jpg,245.0,https://migrantcards.huygens.knaw.nl/cards/33/,empty
47059,NL-HaNA_2.05.159_22_0515.jpg,226.0,https://migrantcards.huygens.knaw.nl/cards/22/,empty
94519,NL-HaNA_2.05.159_44_2269.jpg,136.0,https://migrantcards.huygens.knaw.nl/cards/44/,empty
57463,NL-HaNA_2.05.159_27_1437.jpg,122.0,https://migrantcards.huygens.knaw.nl/cards/27/,empty
67105,NL-HaNA_2.05.159_32_0561.jpg,128.0,https://migrantcards.huygens.knaw.nl/cards/32/,empty
36903,NL-HaNA_2.05.159_17_1885.jpg,245.0,https://migrantcards.huygens.knaw.nl/cards/17/,empty
83694,NL-HaNA_2.05.159_39_0235.jpg,222.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
57643,NL-HaNA_2.05.159_27_1019.jpg,148.0,https://migrantcards.huygens.knaw.nl/cards/27/,empty
65731,NL-HaNA_2.05.159_32_1339.jpg,290.0,https://migrantcards.huygens.knaw.nl/cards/32/,empty
87687,NL-HaNA_2.05.159_41_0313.jpg,236.0,https://migrantcards.huygens.knaw.nl/cards/41/,empty
50549,NL-HaNA_2.05.159_23_0617.jpg,212.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
86936,NL-HaNA_2.05.159_41_2071.jpg,261.0,https://migrantcards.huygens.knaw.nl/cards/41/,empty
81928,NL-HaNA_2.05.159_39_2127.jpg,280.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
72443,NL-HaNA_2.05.159_34_2073.jpg,270.0,https://migrantcards.huygens.knaw.nl/cards/34/,empty
50324,NL-HaNA_2.05.159_23_0975.jpg,3.0,https://migrantcards.huygens.knaw.nl/cards/23/,empty
45809,NL-HaNA_2.05.159_21_1233.jpg,48.0,https://migrantcards.huygens.knaw.nl/cards/21/,empty
83723,NL-HaNA_2.05.159_39_0143.jpg,164.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
94286,NL-HaNA_2.05.159_44_2285.jpg,3.0,https://migrantcards.huygens.knaw.nl/cards/44/,empty
92857,NL-HaNA_2.05.159_43_0737.jpg,189.0,https://migrantcards.huygens.knaw.nl/cards/43/,empty
36893,NL-HaNA_2.05.159_17_0979.jpg,297.0,https://migrantcards.huygens.knaw.nl/cards/17/,empty
83509,NL-HaNA_2.05.159_39_1267.jpg,225.0,https://migrantcards.huygens.knaw.nl/cards/39/,empty
29001,NL-HaNA_2.05.159_14_1267.jpg,228.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
56490,NL-HaNA_2.05.159_27_1129.jpg,128.0,https://migrantcards.huygens.knaw.nl/cards/27/,empty
26834,NL-HaNA_2.05.159_13_0467.jpg,220.0,https://migrantcards.huygens.knaw.nl/cards/13/,empty
68844,NL-HaNA_2.05.159_33_1237.jpg,115.0,https://migrantcards.huygens.knaw.nl/cards/33/,empty
100810,NL-HaNA_2.05.159_46_2139.jpg,122.0,https://migrantcards.huygens.knaw.nl/cards/46/,empty
93616,NL-HaNA_2.05.159_43_1869.jpg,124.0,https://migrantcards.huygens.knaw.nl/cards/43/,empty
96672,NL-HaNA_2.05.159_45_1895.jpg,228.0,https://migrantcards.huygens.knaw.nl/cards/45/,empty
64912,NL-HaNA_2.05.159_31_2463.jpg,1.0,https://migrantcards.huygens.knaw.nl/cards/31/,empty
17401,NL-HaNA_2.05.159_8_1875.jpg,211.0,https://migrantcards.huygens.knaw.nl/cards/08/,empty
11002,NL-HaNA_2.05.159_5_1863.jpg,45.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
31617,NL-HaNA_2.05.159_15_1777.jpg,84.0,https://migrantcards.huygens.knaw.nl/cards/15/,empty
54093,NL-HaNA_2.05.159_25_1015.jpg,191.0,https://migrantcards.huygens.knaw.nl/cards/25/,empty
207,NL-HaNA_2.05.159_1_2125.jpg,211.0,https://migrantcards.huygens.knaw.nl/cards/01/,empty
25489,NL-HaNA_2.05.159_12_0757.jpg,292.0,https://migrantcards.huygens.knaw.nl/cards/12/,empty
10436,NL-HaNA_2.05.159_5_1601.jpg,271.0,https://migrantcards.huygens.knaw.nl/cards/05/,empty
94371,NL-HaNA_2.05.159_44_0441.jpg,180.0,https://migrantcards.huygens.knaw.nl/cards/44/,empty
63987,NL-HaNA_2.05.159_31_0839.jpg,167.0,https://migrantcards.huygens.knaw.nl/cards/31/,empty
12900,NL-HaNA_2.05.159_6_2095.jpg,1.0,https://migrantcards.huygens.knaw.nl/cards/06/,empty
31017,NL-HaNA_2.05.159_14_1119.jpg,292.0,https://migrantcards.huygens.knaw.nl/cards/14/,empty
