,file,edges,url,density
37543,NL-HaNA_2.05.159_17_0349.jpg,3044.0,https://migrantcards.huygens.knaw.nl/cards/17/,large
62395,NL-HaNA_2.05.159_30_0483.jpg,2810.0,https://migrantcards.huygens.knaw.nl/cards/30/,large
70442,NL-HaNA_2.05.159_34_2011.jpg,2046.0,https://migrantcards.huygens.knaw.nl/cards/34/,large
12579,NL-HaNA_2.05.159_6_1339.jpg,3261.0,https://migrantcards.huygens.knaw.nl/cards/06/,large
80127,NL-HaNA_2.05.159_38_0279.jpg,1503.0,https://migrantcards.huygens.knaw.nl/cards/38/,large
28274,NL-HaNA_2.05.159_13_1187.jpg,1620.0,https://migrantcards.huygens.knaw.nl/cards/13/,large
99692,NL-HaNA_2.05.159_46_2167.jpg,1609.0,https://migrantcards.huygens.knaw.nl/cards/46/,large
94464,NL-HaNA_2.05.159_44_1235.jpg,2300.0,https://migrantcards.huygens.knaw.nl/cards/44/,large
102965,NL-HaNA_2.05.159_47_1051.jpg,2418.0,https://migrantcards.huygens.knaw.nl/cards/47/,large
43557,NL-HaNA_2.05.159_20_1423.jpg,2504.0,https://migrantcards.huygens.knaw.nl/cards/20/,large
106916,NL-HaNA_2.05.159_49_0211.jpg,1812.0,https://migrantcards.huygens.knaw.nl/cards/49/,large
103533,NL-HaNA_2.05.159_48_0029.jpg,1901.0,https://migrantcards.huygens.knaw.nl/cards/48/,large
47974,NL-HaNA_2.05.159_22_1213.jpg,1775.0,https://migrantcards.huygens.knaw.nl/cards/22/,large
49139,NL-HaNA_2.05.159_23_0103.jpg,1548.0,https://migrantcards.huygens.knaw.nl/cards/23/,large
34529,NL-HaNA_2.05.159_16_1333.jpg,1755.0,https://migrantcards.huygens.knaw.nl/cards/16/,large
93994,NL-HaNA_2.05.159_44_1109.jpg,2094.0,https://migrantcards.huygens.knaw.nl/cards/44/,large
82514,NL-HaNA_2.05.159_39_1203.jpg,1745.0,https://migrantcards.huygens.knaw.nl/cards/39/,large
86843,NL-HaNA_2.05.159_41_0847.jpg,1666.0,https://migrantcards.huygens.knaw.nl/cards/41/,large
54026,NL-HaNA_2.05.159_25_0607.jpg,1789.0,https://migrantcards.huygens.knaw.nl/cards/25/,large
79908,NL-HaNA_2.05.159_38_2347.jpg,2076.0,https://migrantcards.huygens.knaw.nl/cards/38/,large
69492,NL-HaNA_2.05.159_33_0785.jpg,1590.0,https://migrantcards.huygens.knaw.nl/cards/33/,large
47473,NL-HaNA_2.05.159_22_0785.jpg,1745.0,https://migrantcards.huygens.knaw.nl/cards/22/,large
