,file,edges,url,density
17669,NL-HaNA_2.05.159_8_1635.jpg,632.0,https://migrantcards.huygens.knaw.nl/cards/08/,small
77952,NL-HaNA_2.05.159_37_1039.jpg,344.0,https://migrantcards.huygens.knaw.nl/cards/37/,small
88543,NL-HaNA_2.05.159_41_0271.jpg,991.0,https://migrantcards.huygens.knaw.nl/cards/41/,small
31673,NL-HaNA_2.05.159_15_1373.jpg,857.0,https://migrantcards.huygens.knaw.nl/cards/15/,small
15657,NL-HaNA_2.05.159_7_2131.jpg,621.0,https://migrantcards.huygens.knaw.nl/cards/07/,small
56628,NL-HaNA_2.05.159_27_0161.jpg,892.0,https://migrantcards.huygens.knaw.nl/cards/27/,small
103706,NL-HaNA_2.05.159_48_0751.jpg,972.0,https://migrantcards.huygens.knaw.nl/cards/48/,small
71057,NL-HaNA_2.05.159_34_0607.jpg,890.0,https://migrantcards.huygens.knaw.nl/cards/34/,small
95749,NL-HaNA_2.05.159_44_0569.jpg,558.0,https://migrantcards.huygens.knaw.nl/cards/44/,small
16385,NL-HaNA_2.05.159_8_1421.jpg,947.0,https://migrantcards.huygens.knaw.nl/cards/08/,small
7674,NL-HaNA_2.05.159_4_1329.jpg,995.0,https://migrantcards.huygens.knaw.nl/cards/04/,small
59759,NL-HaNA_2.05.159_29_1239.jpg,563.0,https://migrantcards.huygens.knaw.nl/cards/29/,small
5594,NL-HaNA_2.05.159_3_0025.jpg,798.0,https://migrantcards.huygens.knaw.nl/cards/03/,small
102616,NL-HaNA_2.05.159_47_0229.jpg,863.0,https://migrantcards.huygens.knaw.nl/cards/47/,small
32240,NL-HaNA_2.05.159_15_1533.jpg,927.0,https://migrantcards.huygens.knaw.nl/cards/15/,small
102970,NL-HaNA_2.05.159_47_1615.jpg,651.0,https://migrantcards.huygens.knaw.nl/cards/47/,small
97634,NL-HaNA_2.05.159_45_0399.jpg,816.0,https://migrantcards.huygens.knaw.nl/cards/45/,small
